SOUID,    DATE,   TG, Q_TG
107054,19610527,   74,    0
107054,19610528,   84,    0
107054,19610529,   94,    0
107054,19610530,  136,    0
107054,19610531,  117,    0
107054,19610601,  104,    0
107054,19610602,  134,    0
107054,19610603,  146,    0
107054,19610604,  178,    0
107054,19610605,  180,    0
107054,19610606,  175,    0
107054,19610607,  162,    0
107054,19610608,  146,    0
107054,19610609,  127,    0
107054,19610610,  126,    0
107054,19610611,  162,    0
107054,19610612,  123,    0
107054,19610613,  140,    0
107054,19610614,  138,    0
107054,19610615,  150,    0
107054,19610616,  180,    0
107054,19610617,  161,    0
107054,19610618,  192,    0
107054,19610619,  146,    0
107054,19610620,  152,    0
107054,19610621,  158,    0
107054,19610622,  178,    0
107054,19610623,  178,    0
107054,19610624,  196,    0
107054,19610625,  206,    0
107054,19610626,  180,    0
107054,19610627,  146,    0
107054,19610628,  158,    0
107054,19610629,  190,    0
107054,19610630,  216,    0
107054,19610701,  243,    0
107054,19610702,  205,    0
107054,19610703,  169,    0
107054,19610704,  160,    0
107054,19610705,  144,    0
107054,19610706,  156,    0
107054,19610707,  176,    0
107054,19610708,  180,    0
107054,19610709,  190,    0
107054,19610710,  194,    0
107054,19610711,  204,    0
107054,19610712,  176,    0
107054,19610713,  157,    0
107054,19610714,  148,    0
107054,19610715,  148,    0
107054,19610716,  131,    0
107054,19610717,  162,    0
107054,19610718,  154,    0
107054,19610719,  174,    0
107054,19610720,  168,    0
107054,19610721,  170,    0
107054,19610722,  158,    0
107054,19610723,  162,    0
107054,19610724,  175,    0
107054,19610725,  189,    0
107054,19610726,  203,    0
107054,19610727,  164,    0
107054,19610728,  168,    0
107054,19610729,  138,    0
107054,19610730,  161,    0
107054,19610731,  167,    0
107054,19610801,  187,    0
107054,19610802,  166,    0
107054,19610803,  146,    0
107054,19610804,  191,    0
107054,19610805,  190,    0
107054,19610806,  164,    0
107054,19610807,  153,    0
107054,19610808,  182,    0
107054,19610809,  163,    0
107054,19610810,  146,    0
107054,19610811,  154,    0
107054,19610812,  156,    0
107054,19610813,  154,    0
107054,19610814,  141,    0
107054,19610815,  166,    0
107054,19610816,  142,    0
107054,19610817,  164,    0
107054,19610818,  170,    0
107054,19610819,  167,    0
107054,19610820,  158,    0
107054,19610821,  175,    0
107054,19610822,  160,    0
107054,19610823,  168,    0
107054,19610824,  180,    0
107054,19610825,  184,    0
107054,19610826,  196,    0
107054,19610827,  178,    0
107054,19610828,  199,    0
107054,19610829,  226,    0
107054,19610830,  203,    0
107054,19610831,  182,    0
107054,19610901,  197,    0
107054,19610902,  220,    0
107054,19610903,  204,    0
107054,19610904,  168,    0
107054,19610905,  181,    0
107054,19610906,  126,    0
107054,19610907,  129,    0
107054,19610908,  133,    0
107054,19610909,  145,    0
107054,19610910,  157,    0
107054,19610911,  177,    0
107054,19610912,  146,    0
107054,19610913,  172,    0
107054,19610914,  165,    0
107054,19610915,  186,    0
107054,19610916,  208,    0
107054,19610917,  157,    0
107054,19610918,  176,    0
107054,19610919,  206,    0
107054,19610920,  164,    0
107054,19610921,  158,    0
107054,19610922,  171,    0
107054,19610923,  166,    0
107054,19610924,  178,    0
107054,19610925,  132,    0
107054,19610926,  135,    0
107054,19610927,  138,    0
107054,19610928,  162,    0
107054,19610929,  144,    0
107054,19610930,  140,    0
107054,19611001,  138,    0
107054,19611002,  124,    0
107054,19611003,  130,    0
107054,19611004,  160,    0
107054,19611005,  144,    0
107054,19611006,  159,    0
107054,19611007,  142,    0
107054,19611008,  128,    0
107054,19611009,  150,    0
107054,19611010,  182,    0
107054,19611011,  156,    0
107054,19611012,  106,    0
107054,19611013,  118,    0
107054,19611014,  132,    0
107054,19611015,   81,    0
107054,19611016,  108,    0
107054,19611017,  116,    0
107054,19611018,   85,    0
107054,19611019,   86,    0
107054,19611020,   86,    0
107054,19611021,   96,    0
107054,19611022,  116,    0
107054,19611023,  114,    0
107054,19611024,  116,    0
107054,19611025,  106,    0
107054,19611026,  112,    0
107054,19611027,  106,    0
107054,19611028,  102,    0
107054,19611029,   71,    0
107054,19611030,   56,    0
107054,19611031,   70,    0
107054,19611101,  120,    0
107054,19611102,  122,    0
107054,19611103,   75,    0
107054,19611104,   48,    0
107054,19611105,   64,    0
107054,19611106,   92,    0
107054,19611107,  100,    0
107054,19611108,  100,    0
107054,19611109,   36,    0
107054,19611110,   22,    0
107054,19611111,   54,    0
107054,19611112,   72,    0
107054,19611113,   79,    0
107054,19611114,   76,    0
107054,19611115,   64,    0
107054,19611116,   64,    0
107054,19611117,   57,    0
107054,19611118,   64,    0
107054,19611119,   79,    0
107054,19611120,   73,    0
107054,19611121,   50,    0
107054,19611122,   68,    0
107054,19611123,   82,    0
107054,19611124,   40,    0
107054,19611125,   54,    0
107054,19611126,   24,    0
107054,19611127,   30,    0
107054,19611128,   37,    0
107054,19611129,   54,    0
107054,19611130,  101,    0
107054,19611201,  106,    0
107054,19611202,   56,    0
107054,19611203,  -12,    0
107054,19611204,   74,    0
107054,19611205,   83,    0
107054,19611206,   22,    0
107054,19611207,   -6,    0
107054,19611208,   30,    0
107054,19611209,   72,    0
107054,19611210,   96,    0
107054,19611211,  124,    0
107054,19611212,  126,    0
107054,19611213,  101,    0
107054,19611214,   56,    0
107054,19611215,   23,    0
107054,19611216,   35,    0
107054,19611217,   16,    0
107054,19611218,   -8,    0
107054,19611219,   -2,    0
107054,19611220,    2,    0
107054,19611221,   20,    0
107054,19611222,   43,    0
107054,19611223,   10,    0
107054,19611224,   -6,    0
107054,19611225,  -20,    0
107054,19611226,   -8,    0
107054,19611227,    4,    0
107054,19611228,  -22,    0
107054,19611229,   14,    0
107054,19611230,   48,    0
107054,19611231,    4,    0
107054,19620101,  -70,    0
107054,19620102,  -62,    0
107054,19620103,  -12,    0
107054,19620104,    7,    0
107054,19620105,   39,    0
107054,19620106,   51,    0
107054,19620107,   84,    0
107054,19620108,   47,    0
107054,19620109,   49,    0
107054,19620110,   66,    0
107054,19620111,   66,    0
107054,19620112,   60,    0
107054,19620113,   38,    0
107054,19620114,   40,    0
107054,19620115,   34,    0
107054,19620116,   52,    0
107054,19620117,   71,    0
107054,19620118,   63,    0
107054,19620119,   69,    0
107054,19620120,   66,    0
107054,19620121,   91,    0
107054,19620122,   58,    0
107054,19620123,   66,    0
107054,19620124,   74,    0
107054,19620125,   92,    0
107054,19620126,   98,    0
107054,19620127,   67,    0
107054,19620128,   65,    0
107054,19620129,   26,    0
107054,19620130,   -3,    0
107054,19620131,   26,    0
107054,19620201,   34,    0
107054,19620202,   54,    0
107054,19620203,   62,    0
107054,19620204,   61,    0
107054,19620205,   58,    0
107054,19620206,   84,    0
107054,19620207,   76,    0
107054,19620208,   62,    0
107054,19620209,   30,    0
107054,19620210,   47,    0
107054,19620211,   52,    0
107054,19620212,   70,    0
107054,19620213,   54,    0
107054,19620214,   24,    0
107054,19620215,   38,    0
107054,19620216,   56,    0
107054,19620217,   62,    0
107054,19620218,   65,    0
107054,19620219,   66,    0
107054,19620220,   70,    0
107054,19620221,   52,    0
107054,19620222,   24,    0
107054,19620223,   14,    0
107054,19620224,   34,    0
107054,19620225,   17,    0
107054,19620226,  -14,    0
107054,19620227,   -8,    0
107054,19620228,   12,    0
107054,19620301,   22,    0
107054,19620302,   26,    0
107054,19620303,    9,    0
107054,19620304,    8,    0
107054,19620305,    0,    0
107054,19620306,    1,    0
107054,19620307,   12,    0
107054,19620308,   40,    0
107054,19620309,   64,    0
107054,19620310,   85,    0
107054,19620311,   58,    0
107054,19620312,   39,    0
107054,19620313,   26,    0
107054,19620314,    6,    0
107054,19620315,    3,    0
107054,19620316,   32,    0
107054,19620317,   12,    0
107054,19620318,    5,    0
107054,19620319,   36,    0
107054,19620320,   30,    0
107054,19620321,   33,    0
107054,19620322,   24,    0
107054,19620323,   44,    0
107054,19620324,   42,    0
107054,19620325,   18,    0
107054,19620326,   66,    0
107054,19620327,   60,    0
107054,19620328,   32,    0
107054,19620329,   86,    0
107054,19620330,   84,    0
107054,19620331,   56,    0
107054,19620401,   64,    0
107054,19620402,   80,    0
107054,19620403,   89,    0
107054,19620404,   53,    0
107054,19620405,   73,    0
107054,19620406,   68,    0
107054,19620407,   83,    0
107054,19620408,   88,    0
107054,19620409,   84,    0
107054,19620410,   82,    0
107054,19620411,  100,    0
107054,19620412,  106,    0
107054,19620413,   68,    0
107054,19620414,   56,    0
107054,19620415,   56,    0
107054,19620416,   62,    0
107054,19620417,   86,    0
107054,19620418,   78,    0
107054,19620419,   84,    0
107054,19620420,   94,    0
107054,19620421,  110,    0
107054,19620422,  111,    0
